Level	Rule Name	Subject	Property	Value
WARN	missing_definition	OHPI:0000077	IAO:0000115		
WARN	missing_definition	OHPI:0000077	IAO:0000600		
WARN	missing_definition	OHPI:0000078	IAO:0000115		
WARN	missing_definition	OHPI:0000078	IAO:0000600		
WARN	missing_definition	OHPI:0000079	IAO:0000115		
WARN	missing_definition	OHPI:0000079	IAO:0000600		
WARN	missing_definition	OHPI:0000080	IAO:0000115		
WARN	missing_definition	OHPI:0000080	IAO:0000600		
WARN	missing_definition	OHPI:0000081	IAO:0000115		
WARN	missing_definition	OHPI:0000081	IAO:0000600		
WARN	missing_definition	OHPI:0000082	IAO:0000115		
WARN	missing_definition	OHPI:0000082	IAO:0000600		
WARN	missing_definition	OHPI:0000083	IAO:0000115		
WARN	missing_definition	OHPI:0000083	IAO:0000600		
WARN	missing_definition	OHPI:0000084	IAO:0000115		
WARN	missing_definition	OHPI:0000084	IAO:0000600		
WARN	missing_definition	OHPI:0000085	IAO:0000115		
WARN	missing_definition	OHPI:0000085	IAO:0000600		
WARN	missing_definition	OHPI:0000086	IAO:0000115		
WARN	missing_definition	OHPI:0000086	IAO:0000600		
WARN	missing_definition	OHPI:0000087	IAO:0000115		
WARN	missing_definition	OHPI:0000087	IAO:0000600		
WARN	missing_definition	OHPI:0000088	IAO:0000115		
WARN	missing_definition	OHPI:0000088	IAO:0000600		
WARN	missing_definition	OHPI:0000089	IAO:0000115		
WARN	missing_definition	OHPI:0000089	IAO:0000600		
WARN	missing_definition	OHPI:0000090	IAO:0000115		
WARN	missing_definition	OHPI:0000090	IAO:0000600		
WARN	missing_definition	OHPI:0000091	IAO:0000600		
WARN	missing_definition	OHPI:0000092	IAO:0000600		
WARN	missing_definition	OHPI:0000100	IAO:0000115		
WARN	missing_definition	OHPI:0000100	IAO:0000600		
WARN	missing_definition	OHPI:0000101	IAO:0000115		
WARN	missing_definition	OHPI:0000101	IAO:0000600		
WARN	missing_definition	OHPI:0000102	IAO:0000115		
WARN	missing_definition	OHPI:0000102	IAO:0000600		
WARN	missing_definition	OHPI:0000103	IAO:0000115		
WARN	missing_definition	OHPI:0000103	IAO:0000600		
WARN	missing_definition	OHPI:0000104	IAO:0000115		
WARN	missing_definition	OHPI:0000104	IAO:0000600		
WARN	missing_definition	OHPI:0000105	IAO:0000115		
WARN	missing_definition	OHPI:0000105	IAO:0000600		
WARN	missing_definition	OHPI:0000106	IAO:0000115		
WARN	missing_definition	OHPI:0000106	IAO:0000600		
WARN	missing_definition	OHPI:0000107	IAO:0000115		
WARN	missing_definition	OHPI:0000107	IAO:0000600		
WARN	missing_definition	OHPI:0000108	IAO:0000115		
WARN	missing_definition	OHPI:0000108	IAO:0000600		
WARN	missing_definition	OHPI:0000109	IAO:0000115		
WARN	missing_definition	OHPI:0000109	IAO:0000600		
WARN	missing_definition	OHPI:0000110	IAO:0000115		
WARN	missing_definition	OHPI:0000110	IAO:0000600		
WARN	missing_definition	OHPI:0000111	IAO:0000115		
WARN	missing_definition	OHPI:0000111	IAO:0000600		
WARN	missing_definition	OHPI:0000112	IAO:0000115		
WARN	missing_definition	OHPI:0000112	IAO:0000600		
WARN	missing_definition	OHPI:0000113	IAO:0000115		
WARN	missing_definition	OHPI:0000113	IAO:0000600		
WARN	missing_definition	OHPI:0000114	IAO:0000115		
WARN	missing_definition	OHPI:0000114	IAO:0000600		
WARN	missing_definition	OHPI:0000115	IAO:0000115		
WARN	missing_definition	OHPI:0000115	IAO:0000600		
WARN	missing_definition	OHPI:0000116	IAO:0000115		
WARN	missing_definition	OHPI:0000116	IAO:0000600		
WARN	missing_definition	OHPI:0000117	IAO:0000115		
WARN	missing_definition	OHPI:0000117	IAO:0000600		
WARN	missing_definition	OHPI:0000118	IAO:0000115		
