?x	?p	?y
<http://purl.obolibrary.org/obo/OHPI_0000067>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000081>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000075>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000088>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000070>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000069>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000083>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000077>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000072>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000085>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000066>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000080>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000010>
<http://purl.obolibrary.org/obo/OHPI_0000089>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000093>
<http://purl.obolibrary.org/obo/OHPI_0000094>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000093>
<http://purl.obolibrary.org/obo/OHPI_0000117>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000116>
<http://purl.obolibrary.org/obo/OHPI_0000116>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000115>
<http://purl.obolibrary.org/obo/OHPI_0000111>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000110>
<http://purl.obolibrary.org/obo/OHPI_0000105>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000104>
<http://purl.obolibrary.org/obo/OHPI_0000001>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/INO_0000002>
<http://purl.obolibrary.org/obo/OHPI_0000110>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000109>
<http://purl.obolibrary.org/obo/OHPI_0000125>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000124>
<http://purl.obolibrary.org/obo/OHPI_0000126>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000125>
<http://purl.obolibrary.org/obo/OHPI_0000119>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000118>
<http://purl.obolibrary.org/obo/OHPI_0000101>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000100>
<http://purl.obolibrary.org/obo/OHPI_0000114>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000113>
<http://purl.obolibrary.org/obo/OHPI_0000113>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000112>
<http://purl.obolibrary.org/obo/OHPI_0000108>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000107>
<http://purl.obolibrary.org/obo/OHPI_0000107>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000106>
<http://purl.obolibrary.org/obo/OHPI_0000122>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000121>
<http://purl.obolibrary.org/obo/DOID_4>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000016>
<http://purl.obolibrary.org/obo/OHPI_0000102>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000101>
<http://purl.obolibrary.org/obo/OHPI_0000123>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000122>
<http://purl.obolibrary.org/obo/OHPI_0000120>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OHPI_0000119>
