ohpi_id	ohpi_label	victor_id	ogg_iri	victor_gene_name	victor_pathogen_name	victor_pathogen_taxon	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name
OHPI_9000285	M. tuberculosis ctpC mutant interaction with mouse	328	OGG_3000888705	ctpC	M. tuberculosis	1773	mouse	10090				
OHPI_9000045	M. tuberculosis sigC mutant interaction with mouse	329	OGG_3000888723	sigC	M. tuberculosis	1773	mouse	10090				
OHPI_9000024	M. tuberculosis sigF mutant interaction with mouse	330	OGG_3000888727	sigF	M. tuberculosis	1773	mouse	10090				
OHPI_9000286	M. tuberculosis Rv3277 mutant interaction with mouse	331	OGG_3000888729	Rv3277	M. tuberculosis	1773	mouse	10090				
OHPI_9000287	M. tuberculosis mtrA mutant interaction with mouse	332	OGG_3000888743	mtrA	M. tuberculosis	1773	mouse	10090				
OHPI_9000046	M. tuberculosis sigE mutant interaction with human	333	OGG_3000888751	sigE	M. tuberculosis	1773	human	9606				
OHPI_9000047	M. tuberculosis sigE mutant interaction with human macrophage cell	333	OGG_3000888751	sigE	M. tuberculosis	1773	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000048	M. tuberculosis sigE mutant interaction with mouse	333	OGG_3000888751	sigE	M. tuberculosis	1773	mouse	10090				
OHPI_9000049	M. tuberculosis sigE mutant interaction with mouse macrophage cell	333	OGG_3000888751	sigE	M. tuberculosis	1773	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000288	M. tuberculosis phoP mutant interaction with mouse	334	OGG_3000888772	phoP	M. tuberculosis	1773	mouse	10090				
OHPI_9000289	M. tuberculosis Rv3168 mutant interaction with mouse	335	OGG_3000888778	Rv3168	M. tuberculosis	1773	mouse	10090				
OHPI_9000290	M. tuberculosis Rv3114 mutant interaction with mouse	336	OGG_3000888779	Rv3114	M. tuberculosis	1773	mouse	10090				
OHPI_9000291	M. tuberculosis Rv3178 mutant interaction with mouse	337	OGG_3000888786	Rv3178	M. tuberculosis	1773	mouse	10090				
OHPI_9000292	M. tuberculosis Rv3103c mutant interaction with mouse	338	OGG_3000888798	Rv3103c	M. tuberculosis	1773	mouse	10090				
OHPI_9000293	M. tuberculosis Rv2004c mutant interaction with mouse	339	OGG_3000888817	Rv2004c	M. tuberculosis	1773	mouse	10090				
OHPI_9000294	M. tuberculosis Rv3229c mutant interaction with mouse	340	OGG_3000888821	Rv3229c	M. tuberculosis	1773	mouse	10090				
